S.NO,DATE/TIME,TYPE,FAULT,BATT VOLT,BATT CURR,LOAD VOLT,LOAD CURR,PH1_V,PH1_I,PH1_F,PH2_V,PH2_I,PH2_F,PH3_V,PH3_I,PH3_F,HS1_TEMP,BATT_TEMP,EXT_TEMP
01/01/00/ 14:13:58,EVENT, AC BREAKER OPN ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:00,EVENT, LOW DC CURRENT ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:00,EVENT,   FLOAT MODE   ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:00,EVENT,   LOW DC VOLT  ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:00,EVENT,      EOD       ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
01/01/00/ 14:14:26,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
01/01/00/ 14:14:26,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:29,EVENT, LOW DC CURRENT ,28.0,0.0,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:29,EVENT,   FLOAT MODE   ,28.0,0.0,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:29,EVENT,   LOW DC VOLT  ,28.0,0.0,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:14:29,EVENT,      EOD       ,28.0,0.0,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
01/01/00/ 14:42:13,EVENT,     AC FAIL    ,28.0,0.0,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
01/01/00/ 14:42:13,EVENT, AC BREAKER OPN ,28.0,0.0,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
07/20/26/ 14:42:15,EVENT, LOW DC CURRENT ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
07/20/26/ 14:42:15,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
07/20/26/ 14:42:15,EVENT,   LOW DC VOLT  ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
07/20/26/ 14:42:15,EVENT,      EOD       ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
01/01/00/ 15:07:40,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:07:40,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:07:42,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
07/20/26/ 15:07:42,EVENT,LDCV BREAKER OPN,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,206,30
01/01/00/ 15:12:19,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:12:19,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:12:34,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:12:34,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:12:37,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:12:37,EVENT,LDCV BREAKER OPN,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:12:43,EVENT,   LOW DC VOLT  ,24.6,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:15:19,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:15:19,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:15:23,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:15:23,EVENT,LDCV BREAKER OPN,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:16:41,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:16:41,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:16:44,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:16:44,EVENT,LDCV BREAKER OPN,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:22:50,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:22:50,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:22:53,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
07/20/26/ 15:22:53,EVENT,LDCV BREAKER OPN,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:23:01,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
01/01/00/ 15:23:01,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,207,30
03/01/00/ 13:34:41,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
03/01/00/ 13:34:41,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
01/01/00/ 13:35:04,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
01/01/00/ 13:35:04,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
01/01/00/ 13:35:14,EVENT,     AC FAIL    ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
01/01/00/ 13:35:14,EVENT, AC BREAKER OPN ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
07/22/26/ 13:35:16,EVENT,   FLOAT MODE   ,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,207,29
